主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,110kV,110kV4母线,110kV4母线,交流母线,A相电压,越限,,110kV-4母线A相电压,110kV-4母线A相电压,,,
1,110kV,110kV4母线,110kV4母线,交流母线,B相电压,越限,,110kV-4母线B相电压,110kV-4母线B相电压,,,
2,110kV,110kV4母线,110kV4母线,交流母线,C相电压,越限,,110kV-4母线C相电压,110kV-4母线C相电压,,,
3,110kV,110kV4母线,110kV4母线,交流母线,AB线电压,越限,,110kV-4母线AB线电压,110kV-4母线AB线电压,,,
4,110kV,110kV4母线,110kV4母线,交流母线,BC线电压,越限,,110kV-4母线BC线电压,110kV-4母线BC线电压,,,
5,110kV,110kV4母线,110kV4母线,交流母线,CA线电压,越限,,110kV-4母线CA线电压,110kV-4母线CA线电压,,,
6,110kV,110kV4母线,110kV4母线,交流母线,零序电压,越限,,110kV-4母线零序电压,110kV-4母线零序电压,,,
7,110kV,110kV4母线,110kV4母线,交流母线,频率,越限,,110kV-4母线频率,110kV-4母线频率,,,
8,110kV,110kV5母线,110kV5母线,交流母线,A相电压,越限,,110kV-5母线A相电压,110kV-5母线A相电压,,,
9,110kV,110kV5母线,110kV5母线,交流母线,B相电压,越限,,110kV-5母线B相电压,110kV-5母线B相电压,,,
10,110kV,110kV5母线,110kV5母线,交流母线,C相电压,越限,,110kV-5母线C相电压,110kV-5母线C相电压,,,
11,110kV,110kV5母线,110kV5母线,交流母线,AB线电压,越限,,110kV-5母线AB线电压,110kV-5母线AB线电压,,,
12,110kV,110kV5母线,110kV5母线,交流母线,BC线电压,越限,,110kV-5母线BC线电压,110kV-5母线BC线电压,,,
13,110kV,110kV5母线,110kV5母线,交流母线,CA线电压,越限,,110kV-5母线CA线电压,110kV-5母线CA线电压,,,
14,110kV,110kV5母线,110kV5母线,交流母线,零序电压,越限,,110kV-5母线零序电压,110kV-5母线零序电压,,,
15,110kV,110kV5母线,110kV5母线,交流母线,频率,越限,,110kV-5母线频率,110kV-5母线频率,,,
16,10kV,10kV4母线,10kV4母线,交流母线,A相电压,越限,,10kV-4母线A相电压,10kV-4母线A相电压,,,
17,10kV,10kV4母线,10kV4母线,交流母线,B相电压,越限,,10kV-4母线B相电压,10kV-4母线B相电压,,,d
18,10kV,10kV4母线,10kV4母线,交流母线,C相电压,越限,,10kV-4母线C相电压,10kV-4母线C相电压,,,
19,10kV,10kV4母线,10kV4母线,交流母线,AB线电压,越限,,10kV-4母线AB线电压,10kV-4母线AB线电压,,,
20,10kV,10kV4母线,10kV4母线,交流母线,BC线电压,越限,,10kV-4母线BC线电压,10kV-4母线BC线电压,,,
21,10kV,10kV4母线,10kV4母线,交流母线,CA线电压,越限,,10kV-4母线CA线电压,10kV-4母线CA线电压,,,
22,10kV,10kV4母线,10kV4母线,交流母线,零序电压,越限,,10kV-4母线零序电压,10kV-4母线零序电压,,,
23,10kV,10kV4母线,10kV4母线,交流母线,频率,越限,,10kV-4母线频率,10kV-4母线频率,,,
24,10kV,10kV5母线,10kV5母线,交流母线,A相电压,越限,,10kV-5母线A相电压,10kV-5母线A相电压,,,
25,10kV,10kV5母线,10kV5母线,交流母线,B相电压,越限,,10kV-5母线B相电压,10kV-5母线B相电压,,,
26,10kV,10kV5母线,10kV5母线,交流母线,C相电压,越限,,10kV-5母线C相电压,10kV-5母线C相电压,,,
27,10kV,10kV5母线,10kV5母线,交流母线,AB线电压,越限,,10kV-5母线AB线电压,10kV-5母线AB线电压,,,
28,10kV,10kV5母线,10kV5母线,交流母线,BC线电压,越限,,10kV-5母线BC线电压,10kV-5母线BC线电压,,,
29,10kV,10kV5母线,10kV5母线,交流母线,CA线电压,越限,,10kV-5母线CA线电压,10kV-5母线CA线电压,,,
30,10kV,10kV5母线,10kV5母线,交流母线,零序电压,越限,,10kV-5母线零序电压,10kV-5母线零序电压,,,
31,10kV,10kV5母线,10kV5母线,交流母线,频率,越限,,10kV-5母线频率,10kV-5母线频率,,,
32,110kV,110kV孟驿二线,110kV111孟驿二线,交流线段端点,有功,越限,,111有功,111有功,,,
33,110kV,110kV孟驿二线,110kV111孟驿二线,交流线段端点,无功,越限,,111无功,111无功,,,
34,110kV,110kV孟驿二线,110kV111孟驿二线,交流线段端点,A相电流,越限,,111A相电流,111A相电流,,,
35,110kV,110kV孟驿二线,110kV111孟驿二线,交流线段端点,B相电流,越限,,111B相电流,111B相电流,,,
36,110kV,110kV孟驿二线,110kV111孟驿二线,交流线段端点,C相电流,越限,,111C相电流,111C相电流,,,
37,110kV,110kV孟驿二线,110kV111孟驿二线,交流线段端点,功率因数,越限,,111功率因数,111功率因数,,,
38,10kV,1号主变,1号主变10kV侧,变压器绕组,有功,越限,,201有功,201有功,,,
39,10kV,1号主变,1号主变10kV侧,变压器绕组,无功,越限,,201无功,201无功,,,
40,10kV,1号主变,1号主变10kV侧,变压器绕组,A相电流,越限,,201A相电流,201A相电流,,,
41,10kV,1号主变,1号主变10kV侧,变压器绕组,B相电流,越限,,201B相电流,201B相电流,,,
42,10kV,1号主变,1号主变10kV侧,变压器绕组,C相电流,越限,,201C相电流,201C相电流,,,
43,10kV,1号主变,1号主变10kV侧,变压器绕组,功率因数,越限,,201功率因数,201功率因数,,,
44,110kV,1号主变,1号主变35kV侧,变压器绕组,档位,越限,,1#主变分接头位置,1#主变分接头位置,,,
45,110kV,1号主变,1号主变机构,辅助设备,,越限,,1#主变油温1,1#主变油温1,,,
46,110kV,1号主变,1号主变机构,辅助设备,,越限,,1#主变油温2,1#主变油温2,,,
47,110kV,110kV武南一线,110kV112武南一线,交流线段端点,有功,越限,,112有功,112有功,,,
48,110kV,110kV武南一线,110kV112武南一线,交流线段端点,无功,越限,,112无功,112无功,,,
49,110kV,110kV武南一线,110kV112武南一线,交流线段端点,A相电流,越限,,112A相电流,112A相电流,,,
50,110kV,110kV武南一线,110kV112武南一线,交流线段端点,B相电流,越限,,112B相电流,112B相电流,,,
51,110kV,110kV武南一线,110kV112武南一线,交流线段端点,C相电流,越限,,112C相电流,112C相电流,,,
52,110kV,110kV武南一线,110kV112武南一线,交流线段端点,功率因数,越限,,112功率因数,112功率因数,,,
53,10kV,2号主变,2号主变10kV侧,变压器绕组,有功,越限,,202有功,202有功,,,
54,10kV,2号主变,2号主变10kV侧,变压器绕组,无功,越限,,202无功,202无功,,,
55,10kV,2号主变,2号主变10kV侧,变压器绕组,A相电流,越限,,202A相电流,202A相电流,,,
56,10kV,2号主变,2号主变10kV侧,变压器绕组,B相电流,越限,,202B相电流,202B相电流,,,
57,10kV,2号主变,2号主变10kV侧,变压器绕组,C相电流,越限,,202C相电流,202C相电流,,,
58,10kV,2号主变,2号主变10kV侧,变压器绕组,功率因数,越限,,202功率因数,202功率因数,,,
59,110kV,2号主变,2号主变35kV侧,变压器绕组,档位,越限,,2#主变分接头位置,2#主变分接头位置,,,
60,110kV,2号主变,2号主变机构,辅助设备,,越限,,2#主变油温1,2#主变油温1,,,
61,110kV,2号主变,2号主变机构,辅助设备,,越限,,2#主变油温2,2#主变油温2,,,
62,110kV,110kV145分段,110kV145分段,交流开关,A相电流,越限,,145A相电流,145A相电流,,,
63,110kV,110kV145分段,110kV145分段,交流开关,B相电流,越限,,145B相电流,145B相电流,,,
64,110kV,110kV145分段,110kV145分段,交流开关,C相电流,越限,,145C相电流,145C相电流,,,
65,10kV,10kV电信五线,10kV赛11电信五线,交流线段端点,有功,越限,,赛11有功,赛11有功,,,
66,10kV,10kV电信五线,10kV赛11电信五线,交流线段端点,无功,越限,,赛11无功,赛11无功,,,
67,10kV,10kV电信五线,10kV赛11电信五线,交流线段端点,A相电流,越限,,赛11A相电流,赛11A相电流,,,
68,10kV,10kV电信五线,10kV赛11电信五线,交流线段端点,B相电流,越限,,赛11B相电流,赛11B相电流,,,
69,10kV,10kV电信五线,10kV赛11电信五线,交流线段端点,C相电流,越限,,赛11C相电流,赛11C相电流,,,
70,10kV,10kV电信五线,10kV赛11电信五线,交流线段端点,功率因数,越限,,赛11功率因数,赛11功率因数,,,
71,10kV,10kV电信四线,10kV赛13电信四线,交流线段端点,有功,越限,,赛13有功,赛13有功,,,
72,10kV,10kV电信四线,10kV赛13电信四线,交流线段端点,无功,越限,,赛13无功,赛13无功,,,
73,10kV,10kV电信四线,10kV赛13电信四线,交流线段端点,A相电流,越限,,赛13A相电流,赛13A相电流,,,
74,10kV,10kV电信四线,10kV赛13电信四线,交流线段端点,B相电流,越限,,赛13B相电流,赛13B相电流,,,
75,10kV,10kV电信四线,10kV赛13电信四线,交流线段端点,C相电流,越限,,赛13C相电流,赛13C相电流,,,
76,10kV,10kV电信四线,10kV赛13电信四线,交流线段端点,功率因数,越限,,赛13功率因数,赛13功率因数,,,
77,10kV,10kV电信三线,10kV赛15电信三线,交流线段端点,有功,越限,,赛15有功,赛15有功,,,
78,10kV,10kV电信三线,10kV赛15电信三线,交流线段端点,无功,越限,,赛15无功,赛15无功,,,
79,10kV,10kV电信三线,10kV赛15电信三线,交流线段端点,A相电流,越限,,赛15A相电流,赛15A相电流,,,
80,10kV,10kV电信三线,10kV赛15电信三线,交流线段端点,B相电流,越限,,赛15B相电流,赛15B相电流,,,
81,10kV,10kV电信三线,10kV赛15电信三线,交流线段端点,C相电流,越限,,赛15C相电流,赛15C相电流,,,
82,10kV,10kV电信三线,10kV赛15电信三线,交流线段端点,功率因数,越限,,赛15功率因数,赛15功率因数,,,
83,10kV,10kV帕克一线,10kV赛17帕克一线,交流线段端点,有功,越限,,赛17有功,赛17有功,,,
84,10kV,10kV帕克一线,10kV赛17帕克一线,交流线段端点,无功,越限,,赛17无功,赛17无功,,,
85,10kV,10kV帕克一线,10kV赛17帕克一线,交流线段端点,A相电流,越限,,赛17A相电流,赛17A相电流,,,
86,10kV,10kV帕克一线,10kV赛17帕克一线,交流线段端点,B相电流,越限,,赛17B相电流,赛17B相电流,,,
87,10kV,10kV帕克一线,10kV赛17帕克一线,交流线段端点,C相电流,越限,,赛17C相电流,赛17C相电流,,,
88,10kV,10kV帕克一线,10kV赛17帕克一线,交流线段端点,功率因数,越限,,赛17功率因数,赛17功率因数,,,
89,10kV,10kV平洋一线,10kV赛19平洋一线,交流线段端点,有功,越限,,赛19有功,赛19有功,,,
90,10kV,10kV平洋一线,10kV赛19平洋一线,交流线段端点,无功,越限,,赛19无功,赛19无功,,,
91,10kV,10kV平洋一线,10kV赛19平洋一线,交流线段端点,A相电流,越限,,赛19A相电流,赛19A相电流,,,
92,10kV,10kV平洋一线,10kV赛19平洋一线,交流线段端点,B相电流,越限,,赛19B相电流,赛19B相电流,,,
93,10kV,10kV平洋一线,10kV赛19平洋一线,交流线段端点,C相电流,越限,,赛19C相电流,赛19C相电流,,,
94,10kV,10kV平洋一线,10kV赛19平洋一线,交流线段端点,功率因数,越限,,赛19功率因数,赛19功率因数,,,
95,10kV,10kV高创线,10kV赛21高创线,交流线段端点,有功,越限,,赛21有功,赛21有功,,,
96,10kV,10kV高创线,10kV赛21高创线,交流线段端点,无功,越限,,赛21无功,赛21无功,,,
97,10kV,10kV高创线,10kV赛21高创线,交流线段端点,A相电流,越限,,赛21A相电流,赛21A相电流,,,
98,10kV,10kV高创线,10kV赛21高创线,交流线段端点,B相电流,越限,,赛21B相电流,赛21B相电流,,,
99,10kV,10kV高创线,10kV赛21高创线,交流线段端点,C相电流,越限,,赛21C相电流,赛21C相电流,,,
100,10kV,10kV高创线,10kV赛21高创线,交流线段端点,功率因数,越限,,赛21功率因数,赛21功率因数,,,
101,10kV,10kV臻芸一线,10kV赛23臻芸一线,交流线段端点,有功,越限,,赛23有功,赛23有功,,,
102,10kV,10kV臻芸一线,10kV赛23臻芸一线,交流线段端点,无功,越限,,赛23无功,赛23无功,,,
103,10kV,10kV臻芸一线,10kV赛23臻芸一线,交流线段端点,A相电流,越限,,赛23A相电流,赛23A相电流,,,
104,10kV,10kV臻芸一线,10kV赛23臻芸一线,交流线段端点,B相电流,越限,,赛23B相电流,赛23B相电流,,,
105,10kV,10kV臻芸一线,10kV赛23臻芸一线,交流线段端点,C相电流,越限,,赛23C相电流,赛23C相电流,,,
106,10kV,10kV臻芸一线,10kV赛23臻芸一线,交流线段端点,功率因数,越限,,赛23功率因数,赛23功率因数,,,
107,10kV,10kV富瑞一线,10kV赛25富瑞一线,交流线段端点,有功,越限,,赛25有功,赛25有功,,,
108,10kV,10kV富瑞一线,10kV赛25富瑞一线,交流线段端点,无功,越限,,赛25无功,赛25无功,,,
109,10kV,10kV富瑞一线,10kV赛25富瑞一线,交流线段端点,A相电流,越限,,赛25A相电流,赛25A相电流,,,
110,10kV,10kV富瑞一线,10kV赛25富瑞一线,交流线段端点,B相电流,越限,,赛25B相电流,赛25B相电流,,,
111,10kV,10kV富瑞一线,10kV赛25富瑞一线,交流线段端点,C相电流,越限,,赛25C相电流,赛25C相电流,,,
112,10kV,10kV富瑞一线,10kV赛25富瑞一线,交流线段端点,功率因数,越限,,赛25功率因数,赛25功率因数,,,
113,10kV,10kV芸科一线,10kV赛27芸科一线,交流线段端点,有功,越限,,赛27有功,赛27有功,,,
114,10kV,10kV芸科一线,10kV赛27芸科一线,交流线段端点,无功,越限,,赛27无功,赛27无功,,,
115,10kV,10kV芸科一线,10kV赛27芸科一线,交流线段端点,A相电流,越限,,赛27A相电流,赛27A相电流,,,
116,10kV,10kV芸科一线,10kV赛27芸科一线,交流线段端点,B相电流,越限,,赛27B相电流,赛27B相电流,,,
117,10kV,10kV芸科一线,10kV赛27芸科一线,交流线段端点,C相电流,越限,,赛27C相电流,赛27C相电流,,,
118,10kV,10kV芸科一线,10kV赛27芸科一线,交流线段端点,功率因数,越限,,赛27功率因数,赛27功率因数,,,
119,10kV,10kV中铁一线,10kV赛29中铁一线,交流线段端点,有功,越限,,赛29有功,赛29有功,,,
120,10kV,10kV中铁一线,10kV赛29中铁一线,交流线段端点,无功,越限,,赛29无功,赛29无功,,,
121,10kV,10kV中铁一线,10kV赛29中铁一线,交流线段端点,A相电流,越限,,赛29A相电流,赛29A相电流,,,
122,10kV,10kV中铁一线,10kV赛29中铁一线,交流线段端点,B相电流,越限,,赛29B相电流,赛29B相电流,,,
123,10kV,10kV中铁一线,10kV赛29中铁一线,交流线段端点,C相电流,越限,,赛29C相电流,赛29C相电流,,,
124,10kV,10kV中铁一线,10kV赛29中铁一线,交流线段端点,功率因数,越限,,赛29功率因数,赛29功率因数,,,
125,10kV,10kV铁信一线,10kV赛31铁信一线,交流线段端点,有功,越限,,赛31有功,赛31有功,,,
126,10kV,10kV铁信一线,10kV赛31铁信一线,交流线段端点,无功,越限,,赛31无功,赛31无功,,,
127,10kV,10kV铁信一线,10kV赛31铁信一线,交流线段端点,A相电流,越限,,赛31A相电流,赛31A相电流,,,
128,10kV,10kV铁信一线,10kV赛31铁信一线,交流线段端点,B相电流,越限,,赛31B相电流,赛31B相电流,,,
